id,key,value,type
6339746,tiger:reviewed,no,revie
6339746,tiger:zip_left,94552,zip_l
6339746,tiger:name_base,Hallmark,name_
6339746,tiger:name_type,Ct,name_
6339746,tiger:separated,no,separ
6339746,tiger:zip_right,94552,zip_r
6339746,tiger:zip_left_1,94552,zip_l
6339812,name,Via Hermosa,regular
6339812,highway,residential,regular
6339812,tiger:cfcc,A41,cfcc
6339812,tiger:county,"Alameda, CA",count
6339812,tiger:zip_left,94580,zip_l
6339812,tiger:name_base,Via Hermosa,name_
6339812,tiger:zip_right,94580,zip_r
6339847,name,Pelican Drive,regular
6339847,highway,residential,regular
6339847,tiger:cfcc,A41,cfcc
6339847,tiger:county,"Alameda, CA",count
6339847,tiger:reviewed,no,revie
6339847,tiger:zip_left,94587,zip_l
6339847,tiger:name_base,Pelican,name_
6339847,tiger:name_type,Dr,name_
6339847,tiger:zip_right,94587,zip_r
6339847,tiger:zip_left_1,94587,zip_l
6339847,tiger:zip_right_1,94587,zip_r
6339961,name,Boynton Avenue,regular
6339961,oneway,yes,regular
6339961,highway,residential,regular
6339961,maxspeed,25 mph,regular
6339961,tiger:cfcc,A41,cfcc
6339961,tiger:county,"Alameda, CA",count
6339961,tiger:zip_left,94707,zip_l
6339961,tiger:name_base,Boynton,name_
6339961,tiger:name_type,Ave,name_
6339961,tiger:zip_right,94707,zip_r
6340158,name,41st Avenue,regular
6340158,highway,residential,regular
6340158,tiger:cfcc,A41,cfcc
6340158,tiger:tlid,125054025:125054026,tlid
6340158,tiger:county,"Alameda, CA",count
6340158,tiger:source,tiger_import_dch_v0.6_20070809,sourc
6340158,tiger:reviewed,no,revie
6340158,tiger:name_base,41st,name_
6340158,tiger:name_type,Ave,name_
6340158,tiger:separated,no,separ
6341088,name,Hilgard Avenue,regular
6341088,highway,residential,regular
6341088,maxspeed,25 mph,regular
6341088,sidewalk,both,regular
6341088,tiger:cfcc,A41,cfcc
6341088,source:name,survey,name
6341088,tiger:county,"Alameda, CA",count
6341088,tiger:zip_left,94709,zip_l
6341088,tiger:name_base,Hilgard,name_
6341088,tiger:name_type,Ave,name_
6341088,tiger:zip_right,94709,zip_r
6341447,highway,residential,regular
6341447,name,Birch Street,regular
6341447,tiger:cfcc,A41,cfcc
6341447,tiger:county,"Alameda, CA",count
6341447,tiger:name_base,Birch,name_
6341447,tiger:name_type,St,name_
6341447,tiger:zip_left,94541,zip_l
6341447,tiger:zip_right,94541,zip_r
6341566,name,Warbler Loop,regular
6341566,highway,residential,regular
6341566,tiger:cfcc,A41,cfcc
6341566,tiger:tlid,125025024,tlid
6341566,tiger:county,"Alameda, CA",count
6341566,tiger:source,tiger_import_dch_v0.6_20070809,sourc
6341566,tiger:reviewed,no,revie
6341566,tiger:zip_left,94555,zip_l
6341566,tiger:name_base,Warbler,name_
6341566,tiger:name_type,Loop,name_
6341566,tiger:separated,no,separ
6341566,tiger:zip_right,94555,zip_r
6341566,tiger:upload_uuid,bulk_upload.pl-9d5e179e-e488-4300-b71d-b0a82eacb273,uploa
6341841,name,Nancy Court,regular
6341841,highway,residential,regular
6341841,tiger:cfcc,A41,cfcc
6341841,tiger:tlid,125023553,tlid
6341841,tiger:county,"Alameda, CA",count
6341841,tiger:source,tiger_import_dch_v0.6_20070809,sourc
6341841,tiger:reviewed,position,revie
6341841,tiger:zip_left,94587,zip_l
6341841,tiger:name_base,Nancy,name_
6341841,tiger:name_type,Ct,name_
6341841,tiger:separated,no,separ
6341841,tiger:zip_right,94587,zip_r
6342057,name,Welk Common,regular
6342057,highway,residential,regular
6342057,tiger:cfcc,A41,cfcc
6342057,tiger:county,"Alameda, CA",count
6342057,tiger:reviewed,no,revie
6342057,tiger:zip_left,94555,zip_l
6342057,tiger:name_base,Welk Cmn,name_
6342057,tiger:zip_right,94555,zip_r
6342065,name,Arcadian Drive,regular
6342065,highway,residential,regular
6342065,tiger:cfcc,A41,cfcc
6342065,tiger:tlid,125014277,tlid
6342065,tiger:county,"Alameda, CA",count
6342065,tiger:source,tiger_import_dch_v0.6_20070809,sourc
6342065,tiger:reviewed,no,revie
6342065,tiger:zip_left,94546,zip_l
6342065,tiger:name_base,Arcadian,name_
6342065,tiger:name_type,Dr,name_
6342065,tiger:separated,no,separ
6342119,name,Hilmar Street,regular
6342119,highway,residential,regular
6342119,created_by,Potlatch 0.10f,regular
6342119,tiger:cfcc,A41,cfcc
6342119,tiger:tlid,125076406,tlid
6342119,tiger:county,"Alameda, CA",count
6342119,tiger:source,tiger_import_dch_v0.6_20070809,sourc
